epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,268.858,1.86818,2.12239,0.01724,0.47087,0.37716,0.36562,0.17776,1.85565,2.40767,0.02559,0.00898525,0.00898525,0.00898525
43,274.248,1.80745,2.07847,0.01675,0.54139,0.44983,0.4364,0.21418,1.80636,2.10644,0.02241,0.0089605,0.0089605,0.0089605
44,279.551,1.83759,2.05015,0.01722,0.50568,0.34602,0.37666,0.18578,1.92005,2.48599,0.0236,0.00893575,0.00893575,0.00893575
45,286.55,1.79121,2.00874,0.01635,0.55335,0.43253,0.46155,0.22952,1.8769,2.04537,0.02392,0.008911,0.008911,0.008911
46,291.831,1.79164,1.98487,0.01654,0.58725,0.43324,0.46004,0.22956,1.85881,2.0935,0.02519,0.00888625,0.00888625,0.00888625
47,298.539,1.80869,2.03278,0.01715,0.56907,0.44323,0.47996,0.25654,1.77062,1.95471,0.02223,0.0088615,0.0088615,0.0088615
48,304.379,1.75553,1.9506,0.01605,0.58255,0.47805,0.51743,0.2611,1.78486,1.98222,0.02175,0.00883675,0.00883675,0.00883675
49,309.585,1.78043,1.96423,0.01647,0.55601,0.46366,0.4889,0.23438,1.80855,2.19635,0.02253,0.008812,0.008812,0.008812
50,316.872,1.69897,1.89064,0.01538,0.60366,0.47405,0.52122,0.2726,1.78974,2.17291,0.02151,0.00878725,0.00878725,0.00878725
51,322.129,1.74819,1.87404,0.01603,0.61128,0.43945,0.4732,0.23187,1.94227,2.46191,0.0245,0.0087625,0.0087625,0.0087625
52,328.775,1.7599,1.88891,0.01595,0.65201,0.41869,0.50261,0.24853,1.91802,2.27699,0.02353,0.00873775,0.00873775,0.00873775
53,334.534,1.77437,1.87654,0.01673,0.58141,0.46139,0.50421,0.26252,1.80155,2.16468,0.02281,0.008713,0.008713,0.008713
54,339.844,1.74105,1.84165,0.01594,0.61835,0.49895,0.51319,0.2477,1.94982,2.16495,0.02374,0.00868825,0.00868825,0.00868825
55,347.008,1.68827,1.83529,0.01577,0.64056,0.51181,0.55603,0.27828,1.78774,2.07967,0.02196,0.0086635,0.0086635,0.0086635
56,352.446,1.76728,1.86185,0.01666,0.67802,0.48818,0.57229,0.29765,1.80692,1.9502,0.02214,0.00863875,0.00863875,0.00863875
57,358.587,1.7081,1.8178,0.01606,0.6497,0.49827,0.55281,0.29291,1.7553,1.92799,0.02166,0.008614,0.008614,0.008614
58,364.685,1.7199,1.79138,0.01558,0.64957,0.44637,0.53606,0.27136,1.87387,2.13251,0.0229,0.00858925,0.00858925,0.00858925
59,369.833,1.74483,1.78163,0.01741,0.65375,0.44291,0.49642,0.22281,2.03368,2.17936,0.02722,0.0085645,0.0085645,0.0085645
60,377.001,1.70184,1.80673,0.01584,0.62255,0.55709,0.58098,0.30473,1.75955,1.90383,0.02225,0.00853975,0.00853975,0.00853975
61,382.282,1.69807,1.80039,0.0157,0.69265,0.53979,0.60648,0.33834,1.71629,1.75328,0.02143,0.008515,0.008515,0.008515
62,388.073,1.69593,1.78291,0.01587,0.62941,0.52305,0.55842,0.30054,1.78335,1.91065,0.02249,0.00849025,0.00849025,0.00849025
63,394.637,1.72723,1.79852,0.01544,0.7464,0.50173,0.60249,0.33862,1.63886,1.70584,0.02104,0.0084655,0.0084655,0.0084655
64,399.925,1.68133,1.75695,0.01567,0.60671,0.52249,0.55579,0.28674,1.80381,1.93165,0.02266,0.00844075,0.00844075,0.00844075
65,407.339,1.67673,1.72733,0.01584,0.70209,0.53007,0.58896,0.32175,1.73931,1.75338,0.02132,0.008416,0.008416,0.008416
66,412.608,1.64991,1.70361,0.01481,0.77292,0.51557,0.6145,0.33597,1.7918,1.80282,0.02285,0.00839125,0.00839125,0.00839125
67,418.224,1.63636,1.72771,0.01523,0.6772,0.53979,0.61469,0.35637,1.61773,1.69404,0.02006,0.0083665,0.0083665,0.0083665
68,425.038,1.64595,1.68911,0.01544,0.77013,0.52249,0.63676,0.371,1.60881,1.63118,0.01944,0.00834175,0.00834175,0.00834175
69,430.318,1.60945,1.69935,0.01434,0.76377,0.537,0.63924,0.36088,1.67931,1.60201,0.02109,0.008317,0.008317,0.008317
70,436.917,1.61271,1.6831,0.01492,0.74955,0.50173,0.61415,0.35522,1.59919,1.63622,0.01929,0.00829225,0.00829225,0.00829225
71,442.365,1.62533,1.68792,0.01494,0.69046,0.55017,0.62377,0.3561,1.66424,1.64109,0.02024,0.0082675,0.0082675,0.0082675
72,447.541,1.60637,1.66861,0.01502,0.69789,0.52941,0.60234,0.34337,1.65798,1.6995,0.02024,0.00824275,0.00824275,0.00824275
73,454.531,1.61734,1.63354,0.01476,0.69349,0.54801,0.62778,0.35047,1.64841,1.61551,0.01977,0.008218,0.008218,0.008218
74,459.985,1.60978,1.6634,0.01503,0.62491,0.51884,0.58421,0.31503,1.73319,1.82641,0.02242,0.00819325,0.00819325,0.00819325
