epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,210.058,1.63581,1.45877,1.99948,0.8225,0.55709,0.68298,0.37443,1.71672,1.67482,2.06249,0.00898525,0.00898525,0.00898525
43,214.207,1.57155,1.41239,1.95838,0.83437,0.59862,0.68556,0.3867,1.66728,1.5599,2.04877,0.0089605,0.0089605,0.0089605
44,218.894,1.59925,1.40352,1.97712,0.7178,0.49288,0.58737,0.32276,1.83033,1.66372,2.10549,0.00893575,0.00893575,0.00893575
45,225.096,1.572,1.40473,1.96147,0.73574,0.58824,0.66847,0.38682,1.6482,1.45638,2.03569,0.008911,0.008911,0.008911
46,229.533,1.54983,1.37381,1.9432,0.74098,0.53633,0.6197,0.34448,1.6817,1.63248,2.05212,0.00888625,0.00888625,0.00888625
47,233.686,1.5472,1.40018,1.93479,0.73579,0.51211,0.59255,0.31348,1.70675,1.86981,2.0796,0.0088615,0.0088615,0.0088615
48,239.905,1.5085,1.31169,1.92266,0.68784,0.60997,0.65829,0.36671,1.66562,1.57929,2.08442,0.00883675,0.00883675,0.00883675
49,244.53,1.53242,1.32067,1.93024,0.72456,0.59862,0.63941,0.35965,1.71829,1.593,2.02532,0.008812,0.008812,0.008812
50,248.824,1.44845,1.28738,1.85318,0.78558,0.64654,0.74194,0.46265,1.42825,1.3003,1.86686,0.00878725,0.00878725,0.00878725
51,254.589,1.48425,1.30581,1.85726,0.77617,0.57595,0.61217,0.32857,1.83165,1.71605,2.1424,0.0087625,0.0087625,0.0087625
52,259.018,1.45694,1.29719,1.85535,0.64659,0.56055,0.61335,0.33736,1.66953,1.58624,2.0402,0.00873775,0.00873775,0.00873775
53,263.409,1.49486,1.3059,1.87657,0.72179,0.57453,0.68097,0.38234,1.62831,1.50017,2.04846,0.008713,0.008713,0.008713
54,269.392,1.46246,1.28376,1.84523,0.72331,0.61938,0.71004,0.42422,1.52255,1.40998,1.92039,0.00868825,0.00868825,0.00868825
55,274.1,1.43819,1.27507,1.85134,0.76837,0.609,0.65869,0.3927,1.60928,1.56485,1.99316,0.0086635,0.0086635,0.0086635
56,278.342,1.45832,1.30156,1.824,0.77256,0.57439,0.6315,0.37434,1.66773,1.70628,2.00989,0.00863875,0.00863875,0.00863875
57,284.208,1.41178,1.27291,1.79726,0.82548,0.60556,0.71016,0.4124,1.53995,1.47394,1.89727,0.008614,0.008614,0.008614
58,288.86,1.37413,1.24144,1.7668,0.67916,0.57865,0.62756,0.33138,1.75706,1.61225,2.07138,0.00858925,0.00858925,0.00858925
59,293.255,1.39877,1.24193,1.80946,0.82141,0.62068,0.70304,0.38451,1.631,1.58694,1.98838,0.0085645,0.0085645,0.0085645
60,298.297,1.40083,1.23506,1.78692,0.77962,0.64014,0.72949,0.4443,1.4309,1.33589,1.82258,0.00853975,0.00853975,0.00853975
61,303.654,1.38159,1.21953,1.75321,0.81754,0.65115,0.76273,0.46257,1.42857,1.28439,1.82571,0.008515,0.008515,0.008515
62,308.003,1.37565,1.23474,1.76363,0.8716,0.55709,0.67678,0.41157,1.4832,1.69943,1.88067,0.00849025,0.00849025,0.00849025
63,313.266,1.40046,1.23822,1.78261,0.70417,0.53633,0.58728,0.33896,1.59476,1.84614,1.95339,0.0084655,0.0084655,0.0084655
64,318.776,1.34592,1.18542,1.72948,0.84427,0.65658,0.75276,0.47964,1.3993,1.28965,1.78665,0.00844075,0.00844075,0.00844075
65,323.106,1.34608,1.18179,1.74784,0.75651,0.67731,0.7335,0.43146,1.44293,1.29428,1.83498,0.008416,0.008416,0.008416
66,327.969,1.31794,1.17023,1.72173,0.8275,0.65052,0.75764,0.47728,1.39062,1.21519,1.78608,0.00839125,0.00839125,0.00839125
67,334.044,1.34647,1.1618,1.71809,0.80562,0.60231,0.71907,0.4338,1.44447,1.3299,1.82526,0.0083665,0.0083665,0.0083665
68,338.237,1.33984,1.16819,1.70894,0.78462,0.55464,0.67522,0.415,1.48851,1.57536,1.85513,0.00834175,0.00834175,0.00834175
69,342.636,1.28269,1.12964,1.68258,0.87808,0.66436,0.77598,0.50089,1.36646,1.20831,1.75282,0.008317,0.008317,0.008317
70,348.418,1.30594,1.16338,1.69449,0.83725,0.64084,0.74294,0.47028,1.38836,1.30884,1.78789,0.00829225,0.00829225,0.00829225
71,352.822,1.30208,1.13623,1.69955,0.82874,0.65304,0.76324,0.49804,1.36407,1.16558,1.77635,0.0082675,0.0082675,0.0082675
72,357.517,1.27903,1.13822,1.68734,0.85093,0.61231,0.71236,0.44889,1.46264,1.46599,1.85084,0.00824275,0.00824275,0.00824275
73,363.223,1.26451,1.09598,1.65662,0.77017,0.70588,0.76985,0.49601,1.34888,1.15944,1.79927,0.008218,0.008218,0.008218
74,367.62,1.29772,1.10226,1.68871,0.88153,0.6436,0.7599,0.48462,1.40383,1.20689,1.76864,0.00819325,0.00819325,0.00819325
75,371.85,1.28448,1.14794,1.68445,0.83765,0.6436,0.74586,0.49976,1.30695,1.19899,1.72383,0.0081685,0.0081685,0.0081685
76,378.142,1.23301,1.09087,1.6206,0.85459,0.65052,0.74568,0.46607,1.43107,1.2537,1.80029,0.00814375,0.00814375,0.00814375
77,382.331,1.24994,1.08693,1.64736,0.86044,0.66133,0.75389,0.49585,1.35853,1.20871,1.78353,0.008119,0.008119,0.008119
78,386.897,1.25789,1.10124,1.64227,0.85001,0.64713,0.75459,0.48085,1.37167,1.24786,1.76483,0.00809425,0.00809425,0.00809425
79,393.203,1.22532,1.07174,1.62558,0.83779,0.6791,0.76393,0.51905,1.27431,1.14002,1.68527,0.0080695,0.0080695,0.0080695
80,397.701,1.25264,1.0773,1.63326,0.87786,0.62172,0.73564,0.47937,1.34656,1.1811,1.74385,0.00804475,0.00804475,0.00804475
